Normalizer,feature_selection,model, Descriptors, Fitness, R2_Train, R2Pred_Validation, R2Pred_Test
Binarizer,RFECV,SVR,,1.10973973434,-0.0541682478922,-2.11482980801,-0.751433334793
Binarizer,RFE,BayesianRidge,,1.66285733223,0.684553308001,-3.63849637792,-1.39886842462
Binarizer,RFE,LinearRegression,,1.83878831489,0.689850145415,-4.00274147104,-1.55638393734
Binarizer,RFE,SVR,,1.80508661602,0.513687982938,-2.9187034195,-1.19478841643
Binarizer,RFECV,BayesianRidge,,0.660110478692,0.114774382827,-0.900015144774,-0.149720237767
Binarizer,RFECV,LinearRegression,,0.656412249554,0.124621742454,-0.945924032574,-0.167788681351
Binarizer,VarianceThreshold,BayesianRidge,,0.0127595828448,0.555954329974,-2.00486186675,-0.309385650073
Binarizer,VarianceThreshold,LinearRegression,,0.365910045001,0.888748116965,-13.1199979256,-5.32125707072
Binarizer,VarianceThreshold,SVR,,0.0194548734178,0.207927200166,-2.92240864264,-1.04259956599
Imputer,RFE,BayesianRidge,,1.66285733223,0.684553308001,-3.63849637792,-1.39886842462
Imputer,RFE,LinearRegression,,1.83878831489,0.689850145415,-4.00274147104,-1.55638393734
Imputer,RFE,SVR,,1.80508661602,0.513687982938,-2.9187034195,-1.19478841643
Imputer,RFECV,BayesianRidge,,0.660110478692,0.114774382827,-0.900015144774,-0.149720237767
Imputer,RFECV,LinearRegression,,0.656412249554,0.124621742454,-0.945924032574,-0.167788681351
Imputer,RFECV,SVR,,1.10973973434,-0.0541682478922,-2.11482980801,-0.751433334793
Imputer,VarianceThreshold,BayesianRidge,,0.0127595828448,0.555954329974,-2.00486186675,-0.309385650073
Imputer,VarianceThreshold,LinearRegression,,0.365910045001,0.888748116965,-13.1199979256,-5.32125707072
Imputer,VarianceThreshold,SVR,,0.0194548734178,0.207927200166,-2.92240864264,-1.04259956599
KernelCenterer,RFE,BayesianRidge,,1.64036450804,0.687562857875,-3.61205561611,-1.38167596755
